ML Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.8317757009345794,0.6718426501035196,0.6923076923076923,0.391304347826087,0.5,0.4321444257365247
Decision Tree,0.8130841121495327,0.7625517598343684,0.5535714285714286,0.6739130434782609,0.6078431372549019,0.4907450514904425
KNN,0.7429906542056075,0.5126811594202898,0.2631578947368421,0.10869565217391304,0.15384615384615385,0.036629282227921035
Naive Bayes,0.8084112149532711,0.6174948240165631,0.6190476190476191,0.2826086956521739,0.3880597014925373,0.32448452195892147
Random Forest,0.8644859813084113,0.7637163561076604,0.7297297297297297,0.5869565217391305,0.6506024096385542,0.5729452502052267
